what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362338126901
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362338126998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338128874
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338245112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338245488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338246429
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362338247201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338906150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339688219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339692415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339737228
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362339739502
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339739911
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362339739941
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339741831
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362339863356
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339867573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339867605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339867668
